index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,Flag Codes
0,AUS,ALCOHOL,TOT,LT_CAP15,A,1960,9.3,
1,AUS,ALCOHOL,TOT,LT_CAP15,A,1961,9.4,
2,AUS,ALCOHOL,TOT,LT_CAP15,A,1962,9.5,
3,AUS,ALCOHOL,TOT,LT_CAP15,A,1963,9.8,
4,AUS,ALCOHOL,TOT,LT_CAP15,A,1964,10.1,
5,AUS,ALCOHOL,TOT,LT_CAP15,A,1965,10,
6,AUS,ALCOHOL,TOT,LT_CAP15,A,1966,10.3,
7,AUS,ALCOHOL,TOT,LT_CAP15,A,1967,10.8,
8,AUS,ALCOHOL,TOT,LT_CAP15,A,1968,11.1,
9,AUS,ALCOHOL,TOT,LT_CAP15,A,1969,11.6,
10,AUS,ALCOHOL,TOT,LT_CAP15,A,1970,11.6,
11,AUS,ALCOHOL,TOT,LT_CAP15,A,1971,11.6,
12,AUS,ALCOHOL,TOT,LT_CAP15,A,1972,12.2,
13,AUS,ALCOHOL,TOT,LT_CAP15,A,1973,12.9,
14,AUS,ALCOHOL,TOT,LT_CAP15,A,1974,13.1,
15,AUS,ALCOHOL,TOT,LT_CAP15,A,1975,12.9,
16,AUS,ALCOHOL,TOT,LT_CAP15,A,1976,13.1,
17,AUS,ALCOHOL,TOT,LT_CAP15,A,1977,13,
18,AUS,ALCOHOL,TOT,LT_CAP15,A,1978,12.7,
19,AUS,ALCOHOL,TOT,LT_CAP15,A,1979,12.7,
20,AUS,ALCOHOL,TOT,LT_CAP15,A,1980,12.7,
21,AUS,ALCOHOL,TOT,LT_CAP15,A,1981,12.8,
22,AUS,ALCOHOL,TOT,LT_CAP15,A,1982,12.4,
23,AUS,ALCOHOL,TOT,LT_CAP15,A,1983,12.2,
24,AUS,ALCOHOL,TOT,LT_CAP15,A,1984,11.7,
25,AUS,ALCOHOL,TOT,LT_CAP15,A,1985,11.8,
26,AUS,ALCOHOL,TOT,LT_CAP15,A,1986,11.3,
27,AUS,ALCOHOL,TOT,LT_CAP15,A,1987,11.4,
28,AUS,ALCOHOL,TOT,LT_CAP15,A,1988,11.3,
29,AUS,ALCOHOL,TOT,LT_CAP15,A,1989,11,
30,AUS,ALCOHOL,TOT,LT_CAP15,A,1990,10.6,
31,AUS,ALCOHOL,TOT,LT_CAP15,A,1991,10.1,
32,AUS,ALCOHOL,TOT,LT_CAP15,A,1992,9.9,
33,AUS,ALCOHOL,TOT,LT_CAP15,A,1993,10.2,
34,AUS,ALCOHOL,TOT,LT_CAP15,A,1994,10,
35,AUS,ALCOHOL,TOT,LT_CAP15,A,1995,9.8,
36,AUS,ALCOHOL,TOT,LT_CAP15,A,1996,10,
37,AUS,ALCOHOL,TOT,LT_CAP15,A,1997,10.2,
38,AUS,ALCOHOL,TOT,LT_CAP15,A,1998,10,
39,AUS,ALCOHOL,TOT,LT_CAP15,A,1999,10,
40,AUS,ALCOHOL,TOT,LT_CAP15,A,2000,10.2,
41,AUS,ALCOHOL,TOT,LT_CAP15,A,2001,10,
42,AUS,ALCOHOL,TOT,LT_CAP15,A,2002,10.4,
43,AUS,ALCOHOL,TOT,LT_CAP15,A,2003,10.3,
44,AUS,ALCOHOL,TOT,LT_CAP15,A,2004,10.5,B
45,AUS,ALCOHOL,TOT,LT_CAP15,A,2005,10.5,
46,AUS,ALCOHOL,TOT,LT_CAP15,A,2006,10.8,
47,AUS,ALCOHOL,TOT,LT_CAP15,A,2007,10.8,
48,AUS,ALCOHOL,TOT,LT_CAP15,A,2008,10.8,B
49,AUS,ALCOHOL,TOT,LT_CAP15,A,2009,10.7,
50,AUS,ALCOHOL,TOT,LT_CAP15,A,2010,10.4,
51,AUS,ALCOHOL,TOT,LT_CAP15,A,2011,10.2,
52,AUS,ALCOHOL,TOT,LT_CAP15,A,2012,10,
53,AUS,ALCOHOL,TOT,LT_CAP15,A,2013,9.9,
54,AUS,ALCOHOL,TOT,LT_CAP15,A,2014,9.7,
55,AUS,ALCOHOL,TOT,LT_CAP15,A,2015,9.8,
56,AUS,ALCOHOL,TOT,LT_CAP15,A,2016,9.5,
57,AUS,ALCOHOL,TOT,LT_CAP15,A,2017,9.5,
58,AUT,ALCOHOL,TOT,LT_CAP15,A,1960,8.8,
59,AUT,ALCOHOL,TOT,LT_CAP15,A,1961,9.4,
60,AUT,ALCOHOL,TOT,LT_CAP15,A,1962,9.4,
61,AUT,ALCOHOL,TOT,LT_CAP15,A,1963,10.1,
62,AUT,ALCOHOL,TOT,LT_CAP15,A,1964,10.7,
63,AUT,ALCOHOL,TOT,LT_CAP15,A,1965,11.2,
64,AUT,ALCOHOL,TOT,LT_CAP15,A,1966,13,
65,AUT,ALCOHOL,TOT,LT_CAP15,A,1967,12.7,
66,AUT,ALCOHOL,TOT,LT_CAP15,A,1968,13.4,
67,AUT,ALCOHOL,TOT,LT_CAP15,A,1969,13.2,
68,AUT,ALCOHOL,TOT,LT_CAP15,A,1970,13.3,
69,AUT,ALCOHOL,TOT,LT_CAP15,A,1971,13.9,
70,AUT,ALCOHOL,TOT,LT_CAP15,A,1972,14.4,
71,AUT,ALCOHOL,TOT,LT_CAP15,A,1973,14.6,
72,AUT,ALCOHOL,TOT,LT_CAP15,A,1974,14.6,
73,AUT,ALCOHOL,TOT,LT_CAP15,A,1975,14.1,
74,AUT,ALCOHOL,TOT,LT_CAP15,A,1976,14.2,
75,AUT,ALCOHOL,TOT,LT_CAP15,A,1977,14.3,
76,AUT,ALCOHOL,TOT,LT_CAP15,A,1978,13.5,
77,AUT,ALCOHOL,TOT,LT_CAP15,A,1979,13.6,
78,AUT,ALCOHOL,TOT,LT_CAP15,A,1980,13.6,
79,AUT,ALCOHOL,TOT,LT_CAP15,A,1981,13.4,
80,AUT,ALCOHOL,TOT,LT_CAP15,A,1982,13.5,
81,AUT,ALCOHOL,TOT,LT_CAP15,A,1983,14,
82,AUT,ALCOHOL,TOT,LT_CAP15,A,1984,13.8,
83,AUT,ALCOHOL,TOT,LT_CAP15,A,1985,13.3,
84,AUT,ALCOHOL,TOT,LT_CAP15,A,1986,13.6,
85,AUT,ALCOHOL,TOT,LT_CAP15,A,1987,13.6,
86,AUT,ALCOHOL,TOT,LT_CAP15,A,1988,13.7,
87,AUT,ALCOHOL,TOT,LT_CAP15,A,1989,13.9,
88,AUT,ALCOHOL,TOT,LT_CAP15,A,1990,14,
89,AUT,ALCOHOL,TOT,LT_CAP15,A,1991,14,
90,AUT,ALCOHOL,TOT,LT_CAP15,A,1992,13.6,
91,AUT,ALCOHOL,TOT,LT_CAP15,A,1993,13.5,
92,AUT,ALCOHOL,TOT,LT_CAP15,A,1994,12.5,
93,AUT,ALCOHOL,TOT,LT_CAP15,A,1995,13.4,
94,AUT,ALCOHOL,TOT,LT_CAP15,A,1996,13.5,
95,AUT,ALCOHOL,TOT,LT_CAP15,A,1997,12.9,
96,AUT,ALCOHOL,TOT,LT_CAP15,A,1998,12.9,
97,AUT,ALCOHOL,TOT,LT_CAP15,A,1999,12.8,
98,AUT,ALCOHOL,TOT,LT_CAP15,A,2000,13.2,
99,AUT,ALCOHOL,TOT,LT_CAP15,A,2001,12.3,
100,AUT,ALCOHOL,TOT,LT_CAP15,A,2002,12.1,
101,AUT,ALCOHOL,TOT,LT_CAP15,A,2003,12.3,
102,AUT,ALCOHOL,TOT,LT_CAP15,A,2004,12.1,
103,AUT,ALCOHOL,TOT,LT_CAP15,A,2005,12.2,
104,AUT,ALCOHOL,TOT,LT_CAP15,A,2006,12.5,
105,AUT,ALCOHOL,TOT,LT_CAP15,A,2007,12.5,
106,AUT,ALCOHOL,TOT,LT_CAP15,A,2008,12,
107,AUT,ALCOHOL,TOT,LT_CAP15,A,2009,11.8,
108,AUT,ALCOHOL,TOT,LT_CAP15,A,2010,12.1,
109,AUT,ALCOHOL,TOT,LT_CAP15,A,2011,11.9,
110,AUT,ALCOHOL,TOT,LT_CAP15,A,2012,12.1,
111,AUT,ALCOHOL,TOT,LT_CAP15,A,2013,11.9,
112,AUT,ALCOHOL,TOT,LT_CAP15,A,2014,12.2,
113,AUT,ALCOHOL,TOT,LT_CAP15,A,2015,11.2,
114,AUT,ALCOHOL,TOT,LT_CAP15,A,2016,11.4,
115,AUT,ALCOHOL,TOT,LT_CAP15,A,2017,11.3,
116,AUT,ALCOHOL,TOT,LT_CAP15,A,2018,11.3,
117,AUT,ALCOHOL,TOT,LT_CAP15,A,2019,11.6,
118,AUT,ALCOHOL,TOT,LT_CAP15,A,2020,11.3,
119,AUT,ALCOHOL,TOT,LT_CAP15,A,2021,11.1,
